URL de la canción,Título de la canción,Título del álbum,Nombres del artista
https://music.youtube.com/watch?v=rDDWYfoIZRU,¿Quién Es?,,
https://music.youtube.com/watch?v=Oe9FWcQknc4,'S Wonderful,,
https://music.youtube.com/watch?v=RucbRQdNyCw,'Tain't What You Do (It's The Way That Cha Do It),,
https://music.youtube.com/watch?v=XIkAFQ04VpQ,[I've Got] Beginner's Luck,,
https://music.youtube.com/watch?v=xStgEskMSqQ,[I've Got] Beginner's Luck,,
https://music.youtube.com/watch?v=geIzzywDZLg,[I've Got] Beginner's Luck (Mono Mix),,
https://music.youtube.com/watch?v=LN95-acMumo,"[You'll Have To Swing It] Mr. Paganini (Live At The Crescendo, 1961)",,
https://music.youtube.com/watch?v=7l5ym7QCRik,Paganini: Sonata a preghiera M.S.23 - In F Minor per violino IV corda e chitarra - transcrip....,,
https://music.youtube.com/watch?v=G6c9yUADpi0,17 and 21,,
https://music.youtube.com/watch?v=oVf5f7OJZS4,17 and 21 (Reprise),,
https://music.youtube.com/watch?v=imHegLIjQWs,"1936, un Pueblo en Armas",,
https://music.youtube.com/watch?v=bsNGHy1GTD0,Paganini: Sonata a preghiera M.S.23 - In F Minor per violino IV corda e chitarra - transcrip....,,
https://music.youtube.com/watch?v=-IvRc5Se2Xo,21 Girl Salute,,
https://music.youtube.com/watch?v=MN1t8CsltVo,No. 1: Allegro molto,,
https://music.youtube.com/watch?v=9bevnc42BG8,No. 10: Presto,,
https://music.youtube.com/watch?v=H_ttDXy5PGk,No. 11: Poco andante,,
https://music.youtube.com/watch?v=XqT6ziO8DkM,No. 12: Presto,,
https://music.youtube.com/watch?v=otoGJiGJfhE,No. 13: Andantino grazioso,,
https://music.youtube.com/watch?v=gdU68TxlxFg,No. 14: Un poco andante,,
https://music.youtube.com/watch?v=Uz6RWNKw5FA,No. 15: Allegretto grazioso,,
https://music.youtube.com/watch?v=Qw7v7KOLpxY,No. 16: Con moto,,
https://music.youtube.com/watch?v=3bnTdS7OFBk,No. 17: Andantino,,
https://music.youtube.com/watch?v=QCAYLSDFcPo,No. 18: Molto vivace,,
https://music.youtube.com/watch?v=EeS6xt7D4IM,No. 19: Allegretto,,
https://music.youtube.com/watch?v=_MBkfJvCkD4,No. 2: Allegro non assai,,
https://music.youtube.com/watch?v=uceuaMhcOGM,No. 20: Poco allegretto,,
https://music.youtube.com/watch?v=JlBMtqQRjqY,No. 21: Vivace,,
https://music.youtube.com/watch?v=5f8gSKiaqyg,No. 3: Allegretto,,
https://music.youtube.com/watch?v=OOfNqJW024k,No. 4: Poco sostenuto,,
https://music.youtube.com/watch?v=SGjM5CBzeAM,No. 5: Allegro,,
https://music.youtube.com/watch?v=HN9cO6PfS58,No. 6: Vivace,,
https://music.youtube.com/watch?v=XFrob15Iyxw,No. 7: Allegretto,,
https://music.youtube.com/watch?v=iw37wz5kGR8,No. 8: Presto,,
https://music.youtube.com/watch?v=DjhbP_Bhgu4,No. 9: Allegro non troppo,,
https://music.youtube.com/watch?v=N79iUwfUl98,Paganini: Sonata a preghiera M.S.23 - In F Minor per violino IV corda e chitarra - transcrip....,,
https://music.youtube.com/watch?v=XxpokVwNabE,30 Days,,
https://music.youtube.com/watch?v=PFVLXShXFFs,A Couple of Fools in Love,,
https://music.youtube.com/watch?v=TE_2oat3sNA,A Fine Romance,,
